,IPEDS_Hispanic,Program_Desc_Final
1455,Non-Hispanic,Business Administration - MBA
1456,Non-Hispanic,Business Administration - MBA
1457,Non-Hispanic,Business Administration - MBA
1459,Non-Hispanic,Business Administration - MBA
1461,Non-Hispanic,Business Administration - MBA
1463,Non-Hispanic,Business Administration - MBA
1464,Non-Hispanic,Business Administration - MBA
1466,Non-Hispanic,Business Administration - MBA
1467,Non-Hispanic,Business Administration - MBA
1468,Non-Hispanic,Business Administration - MBA
1472,Non-Hispanic,Business Administration - MBA
1473,Non-Hispanic,Business Administration - MBA
1476,Hispanic,Business Administration - MBA
1478,Non-Hispanic,Business Administration - MBA
1480,Non-Hispanic,Business Administration - MBA
1484,Non-Hispanic,Business Administration - MBA
1486,Non-Hispanic,Business Administration - MBA
1488,Non-Hispanic,Business Administration - MBA
1491,Hispanic,Business Administration - MBA
1494,Non-Hispanic,Business Administration - MBA
1496,Non-Hispanic,Business Administration - MBA
1497,Non-Hispanic,Business Administration - MBA
1499,Non-Hispanic,Business Administration - MBA
1502,Non-Hispanic,Business Administration - MBA
1506,Non-Hispanic,Business Administration - MBA
1507,Non-Hispanic,Business Administration - MBA
1513,Non-Hispanic,Business Administration - MBA
1514,Hispanic,Business Administration - MBA
1516,Non-Hispanic,Business Administration - MBA
1517,Hispanic,Business Administration - MBA
1520,Non-Hispanic,Business Administration - MBA
1522,Hispanic,Business Administration - MBA
1523,Non-Hispanic,Business Administration - MBA
1524,Non-Hispanic,Business Administration - MBA
1529,Non-Hispanic,Business Administration - MBA
1530,Hispanic,Business Administration - MBA
1531,Hispanic,Business Administration - MBA
1533,Non-Hispanic,Business Administration - MBA
1534,Hispanic,Business Administration - MBA
1537,Non-Hispanic,Business Administration - MBA
1538,Non-Hispanic,Business Administration - MBA
1543,Non-Hispanic,Business Administration - MBA
1545,Non-Hispanic,Business Administration - MBA
1546,Non-Hispanic,Business Administration - MBA
1548,Non-Hispanic,Business Administration - MBA
1549,Non-Hispanic,Business Administration - MBA
1552,Hispanic,Business Administration - MBA
1560,Non-Hispanic,Business Administration - MBA
1561,Non-Hispanic,Business Administration - MBA
1562,Non-Hispanic,Business Administration - MBA
1565,Non-Hispanic,Business Administration - MBA
1566,Non-Hispanic,Business Administration - MBA
1569,Non-Hispanic,Business Administration - MBA
1570,Non-Hispanic,Business Administration - MBA
1572,Non-Hispanic,Business Administration - MBA
1573,Non-Hispanic,Business Administration - MBA
1575,Non-Hispanic,Business Administration - MBA
1579,Non-Hispanic,Business Administration - MBA
1582,Non-Hispanic,Business Administration - MBA
1583,Non-Hispanic,Business Administration - MBA
1588,Hispanic,Business Administration - MBA
1594,Non-Hispanic,Business Administration - MBA
1595,Hispanic,Business Administration - MBA
1597,Non-Hispanic,Business Administration - MBA
1598,Non-Hispanic,Business Administration - MBA
1599,Non-Hispanic,Business Administration - MBA
1601,Non-Hispanic,Business Administration - MBA
1605,Non-Hispanic,Business Administration - MBA
1608,Non-Hispanic,Business Administration - MBA
1609,Non-Hispanic,Business Administration - MBA
1611,Non-Hispanic,Business Administration - MBA
1612,Non-Hispanic,Business Administration - MBA
1614,Non-Hispanic,Business Administration - MBA
1615,Non-Hispanic,Business Administration - MBA
1616,Non-Hispanic,Business Administration - MBA
1617,Non-Hispanic,Business Administration - MBA
1618,Non-Hispanic,Business Administration - MBA
1619,Non-Hispanic,Business Administration - MBA
1622,Non-Hispanic,Business Administration - MBA
1623,Non-Hispanic,Business Administration - MBA
1625,Hispanic,Business Administration - MBA
1627,Hispanic,Business Administration - MBA
1629,Hispanic,Business Administration - MBA
1630,Non-Hispanic,Business Administration - MBA
1637,Hispanic,Business Administration - MBA
1639,Non-Hispanic,Business Administration - MBA
1647,Non-Hispanic,Business Administration - MBA
1651,Non-Hispanic,Business Administration - MBA
1652,Non-Hispanic,Business Administration - MBA
1658,Non-Hispanic,Business Administration - MBA
1665,Non-Hispanic,Business Administration - MBA
1669,Non-Hispanic,Business Administration - MBA
1672,Non-Hispanic,Business Administration - MBA
1676,Non-Hispanic,Business Administration - MBA
1678,Non-Hispanic,Business Administration - MBA
1680,Non-Hispanic,Business Administration - MBA
1681,Non-Hispanic,Business Administration - MBA
1683,Non-Hispanic,Business Administration - MBA
1686,Hispanic,Business Administration - MBA
1688,Non-Hispanic,Business Administration - MBA
1689,Non-Hispanic,Business Administration - MBA
1690,Non-Hispanic,Business Administration - MBA
1695,Non-Hispanic,Business Administration - MBA
1697,Non-Hispanic,Business Administration - MBA
1704,Hispanic,Business Administration - MBA
1709,Hispanic,Business Administration - MBA
1711,Non-Hispanic,Business Administration - MBA
1712,Non-Hispanic,Business Administration - MBA
1714,Non-Hispanic,Business Administration - MBA
1716,Non-Hispanic,Business Administration - MBA
1717,Non-Hispanic,Business Administration - MBA
1722,Non-Hispanic,Business Administration - MBA
1723,Non-Hispanic,Business Administration - MBA
1725,Non-Hispanic,Business Administration - MBA
1726,Non-Hispanic,Business Administration - MBA
1728,Non-Hispanic,Business Administration - MBA
1731,Non-Hispanic,Business Administration - MBA
1736,Non-Hispanic,Business Administration - MBA
1738,Non-Hispanic,Business Administration - MBA
1741,Non-Hispanic,Business Administration - MBA
1742,Non-Hispanic,Business Administration - MBA
1744,Non-Hispanic,Business Administration - MBA
1745,Non-Hispanic,Business Administration - MBA
1748,Non-Hispanic,Business Administration - MBA
1749,Non-Hispanic,Business Administration - MBA
1750,Non-Hispanic,Business Administration - MBA
1752,Non-Hispanic,Business Administration - MBA
1753,Non-Hispanic,Business Administration - MBA
1755,Non-Hispanic,Business Administration - MBA
1756,Non-Hispanic,Business Administration - MBA
1757,Non-Hispanic,Business Administration - MBA
1758,Non-Hispanic,Business Administration - MBA
1759,Non-Hispanic,Business Administration - MBA
1760,Non-Hispanic,Business Administration - MBA
1763,Non-Hispanic,Business Administration - MBA
1770,Non-Hispanic,Business Administration - MBA
1773,Non-Hispanic,Business Administration - MBA
1775,Non-Hispanic,Business Administration - MBA
1777,Non-Hispanic,Business Administration - MBA
1778,Non-Hispanic,Business Administration - MBA
1781,Non-Hispanic,Business Administration - MBA
1782,Hispanic,Business Administration - MBA
1783,Hispanic,Business Administration - MBA
1784,Non-Hispanic,Business Administration - MBA
1785,Hispanic,Business Administration - MBA
1786,Non-Hispanic,Business Administration - MBA
1791,Non-Hispanic,Business Administration - MBA
1792,Non-Hispanic,Business Administration - MBA
1798,Non-Hispanic,Business Administration - MBA
1803,Non-Hispanic,Business Administration - MBA
1807,Non-Hispanic,Business Administration - MBA
1812,Non-Hispanic,Business Administration - MBA
1815,Hispanic,Business Administration - MBA
1818,Non-Hispanic,Business Administration - MBA
1819,Non-Hispanic,Business Administration - MBA
1822,Non-Hispanic,Business Administration - MBA
1824,Non-Hispanic,Business Administration - MBA
1825,Non-Hispanic,Business Administration - MBA
1826,Non-Hispanic,Business Administration - MBA
1828,Non-Hispanic,Business Administration - MBA
1831,Non-Hispanic,Business Administration - MBA
1832,Non-Hispanic,Business Administration - MBA
1833,Non-Hispanic,Business Administration - MBA
1834,Non-Hispanic,Business Administration - MBA
1840,Non-Hispanic,Business Administration - MBA
1846,Non-Hispanic,Business Administration - MBA
1847,Non-Hispanic,Business Administration - MBA
1850,Non-Hispanic,Business Administration - MBA
1852,Non-Hispanic,Business Administration - MBA
1855,Non-Hispanic,Business Administration - MBA
1856,Non-Hispanic,Business Administration - MBA
1859,Non-Hispanic,Business Administration - MBA
1861,Non-Hispanic,Business Administration - MBA
1867,Hispanic,Business Administration - MBA
1869,Non-Hispanic,Business Administration - MBA
1873,Non-Hispanic,Business Administration - MBA
1875,Non-Hispanic,Business Administration - MBA
1876,Hispanic,Business Administration - MBA
1877,Non-Hispanic,Business Administration - MBA
1878,Non-Hispanic,Business Administration - MBA
1882,Non-Hispanic,Business Administration - MBA
1883,Non-Hispanic,Business Administration - MBA
1884,Non-Hispanic,Business Administration - MBA
1885,Hispanic,Business Administration - MBA
1887,Non-Hispanic,Business Administration - MBA
1892,Non-Hispanic,Business Administration - MBA
1893,Non-Hispanic,Business Administration - MBA
1895,Non-Hispanic,Business Administration - MBA
1900,Non-Hispanic,Business Administration - MBA
1903,Non-Hispanic,Business Administration - MBA
1905,Non-Hispanic,Business Administration - MBA
1910,Non-Hispanic,Business Administration - MBA
1912,Non-Hispanic,Business Administration - MBA
1914,Non-Hispanic,Business Administration - MBA
1918,Non-Hispanic,Business Administration - MBA
1920,Non-Hispanic,Business Administration - MBA
1922,Non-Hispanic,Business Administration - MBA
1925,Hispanic,Business Administration - MBA
1926,Non-Hispanic,Business Administration - MBA
1928,Non-Hispanic,Business Administration - MBA
1931,Non-Hispanic,Business Administration - MBA
1934,Hispanic,Business Administration - MBA
1936,Non-Hispanic,Business Administration - MBA
1937,Hispanic,Business Administration - MBA
1939,Non-Hispanic,Business Administration - MBA
1940,Non-Hispanic,Business Administration - MBA
1943,Non-Hispanic,Business Administration - MBA
1949,Non-Hispanic,Business Administration - MBA
1957,Non-Hispanic,Business Administration - MBA
1961,Non-Hispanic,Business Administration - MBA
1963,Non-Hispanic,Business Administration - MBA
1965,Hispanic,Business Administration - MBA
1966,Non-Hispanic,Business Administration - MBA
1967,Non-Hispanic,Business Administration - MBA
1970,Non-Hispanic,Business Administration - MBA
1973,Non-Hispanic,Business Administration - MBA
1974,Non-Hispanic,Business Administration - MBA
1975,Non-Hispanic,Business Administration - MBA
1978,Non-Hispanic,Business Administration - MBA
1980,Non-Hispanic,Business Administration - MBA
1981,Non-Hispanic,Business Administration - MBA
1982,Non-Hispanic,Business Administration - MBA
1985,Non-Hispanic,Business Administration - MBA
1987,Non-Hispanic,Business Administration - MBA
1990,Non-Hispanic,Business Administration - MBA
1993,Non-Hispanic,Business Administration - MBA
1994,Non-Hispanic,Business Administration - MBA
1995,Non-Hispanic,Business Administration - MBA
1997,Hispanic,Business Administration - MBA
1999,Non-Hispanic,Business Administration - MBA
2000,Non-Hispanic,Business Administration - MBA
2001,Non-Hispanic,Business Administration - MBA
2002,Non-Hispanic,Business Administration - MBA
2005,Non-Hispanic,Business Administration - MBA
2009,Non-Hispanic,Business Administration - MBA
2010,Hispanic,Business Administration - MBA
2014,Non-Hispanic,Business Administration - MBA
2017,Non-Hispanic,Business Administration - MBA
2022,Non-Hispanic,Business Administration - MBA
2025,Non-Hispanic,Business Administration - MBA
2026,Non-Hispanic,Business Administration - MBA
2027,Non-Hispanic,Business Administration - MBA
2029,Non-Hispanic,Business Administration - MBA
2031,Non-Hispanic,Business Administration - MBA
2032,Non-Hispanic,Business Administration - MBA
2034,Non-Hispanic,Business Administration - MBA
2035,Non-Hispanic,Business Administration - MBA
2041,Non-Hispanic,Business Administration - MBA
2042,Non-Hispanic,Business Administration - MBA
2043,Non-Hispanic,Business Administration - MBA
2044,Non-Hispanic,Business Administration - MBA
2046,Non-Hispanic,Business Administration - MBA
2048,Non-Hispanic,Business Administration - MBA
2049,Non-Hispanic,Business Administration - MBA
2052,Non-Hispanic,Business Administration - MBA
2054,Non-Hispanic,Business Administration - MBA
2061,Non-Hispanic,Business Administration - MBA
2065,Hispanic,Business Administration - MBA
2067,Non-Hispanic,Business Administration - MBA
2070,Non-Hispanic,Business Administration - MBA
2072,Non-Hispanic,Business Administration - MBA
2077,Non-Hispanic,Business Administration - MBA
2078,Hispanic,Business Administration - MBA
2079,Non-Hispanic,Business Administration - MBA
2082,Non-Hispanic,Business Administration - MBA
2083,Non-Hispanic,Business Administration - MBA
2085,Non-Hispanic,Business Administration - MBA
2088,Non-Hispanic,Business Administration - MBA
2092,Non-Hispanic,Business Administration - MBA
2097,Non-Hispanic,Business Administration - MBA
2098,Non-Hispanic,Business Administration - MBA
2099,Non-Hispanic,Business Administration - MBA
2104,Non-Hispanic,Business Administration - MBA
2105,Non-Hispanic,Business Administration - MBA
2107,Non-Hispanic,Business Administration - MBA
2108,Non-Hispanic,Business Administration - MBA
2109,Hispanic,Business Administration - MBA
2114,Non-Hispanic,Business Administration - MBA
2115,Non-Hispanic,Business Administration - MBA
2121,Non-Hispanic,Business Administration - MBA
2123,Non-Hispanic,Business Administration - MBA
2129,Non-Hispanic,Business Administration - MBA
2133,Non-Hispanic,Business Administration - MBA
2135,Non-Hispanic,Business Administration - MBA
2137,Non-Hispanic,Business Administration - MBA
2144,Non-Hispanic,Business Administration - MBA
2145,Non-Hispanic,Business Administration - MBA
2146,Non-Hispanic,Business Administration - MBA
2148,Non-Hispanic,Business Administration - MBA
2155,Non-Hispanic,Business Administration - MBA
2156,Non-Hispanic,Business Administration - MBA
2157,Hispanic,Business Administration - MBA
2158,Non-Hispanic,Business Administration - MBA
2169,Hispanic,Business Administration - MBA
2172,Non-Hispanic,Business Administration - MBA
2173,Non-Hispanic,Business Administration - MBA
2176,Non-Hispanic,Business Administration - MBA
2177,Non-Hispanic,Business Administration - MBA
2179,Non-Hispanic,Business Administration - MBA
2180,Non-Hispanic,Business Administration - MBA
2188,Non-Hispanic,Business Administration - MBA
2189,Non-Hispanic,Business Administration - MBA
2192,Non-Hispanic,Business Administration - MBA
2193,Non-Hispanic,Business Administration - MBA
2196,Non-Hispanic,Business Administration - MBA
2200,Non-Hispanic,Business Administration - MBA
2201,Hispanic,Business Administration - MBA
2204,Hispanic,Business Administration - MBA
2212,Non-Hispanic,Business Administration - MBA
2214,Non-Hispanic,Business Administration - MBA
2216,Non-Hispanic,Business Administration - MBA
2219,Non-Hispanic,Business Administration - MBA
2224,Non-Hispanic,Business Administration - MBA
2227,Non-Hispanic,Business Administration - MBA
2231,Non-Hispanic,Business Administration - MBA
2233,Non-Hispanic,Business Administration - MBA
2235,Non-Hispanic,Business Administration - MBA
2243,Non-Hispanic,Business Administration - MBA
2244,Non-Hispanic,Business Administration - MBA
2248,Non-Hispanic,Business Administration - MBA
2256,Non-Hispanic,Business Administration - MBA
2259,Non-Hispanic,Business Administration - MBA
2260,Non-Hispanic,Business Administration - MBA
2262,Non-Hispanic,Business Administration - MBA
2264,Hispanic,Business Administration - MBA
2266,Non-Hispanic,Business Administration - MBA
2267,Non-Hispanic,Business Administration - MBA
2268,Non-Hispanic,Business Administration - MBA
2278,Non-Hispanic,Business Administration - MBA
2282,Non-Hispanic,Business Administration - MBA
2285,Non-Hispanic,Business Administration - MBA
2286,Non-Hispanic,Business Administration - MBA
2287,Non-Hispanic,Business Administration - MBA
2288,Non-Hispanic,Business Administration - MBA
2293,Non-Hispanic,Business Administration - MBA
2297,Non-Hispanic,Business Administration - MBA
2298,Hispanic,Business Administration - MBA
2305,Non-Hispanic,Business Administration - MBA
2306,Non-Hispanic,Business Administration - MBA
2308,Non-Hispanic,Business Administration - MBA
2309,Non-Hispanic,Business Administration - MBA
2310,Non-Hispanic,Business Administration - MBA
2311,Non-Hispanic,Business Administration - MBA
2312,Non-Hispanic,Business Administration - MBA
2315,Non-Hispanic,Business Administration - MBA
2316,Non-Hispanic,Business Administration - MBA
2320,Non-Hispanic,Business Administration - MBA
2321,Non-Hispanic,Business Administration - MBA
2330,Non-Hispanic,Business Administration - MBA
2332,Non-Hispanic,Business Administration - MBA
2337,Non-Hispanic,Business Administration - MBA
2340,Hispanic,Business Administration - MBA
2342,Non-Hispanic,Business Administration - MBA
2344,Non-Hispanic,Business Administration - MBA
2345,Non-Hispanic,Business Administration - MBA
2347,Non-Hispanic,Business Administration - MBA
2350,Non-Hispanic,Business Administration - MBA
2351,Non-Hispanic,Business Administration - MBA
2352,Non-Hispanic,Business Administration - MBA
2356,Non-Hispanic,Business Administration - MBA
2357,Non-Hispanic,Business Administration - MBA
2358,Non-Hispanic,Business Administration - MBA
2359,Non-Hispanic,Business Administration - MBA
2362,Non-Hispanic,Business Administration - MBA
2363,Non-Hispanic,Business Administration - MBA
