,IPEDS_Hispanic,Program_Desc_Final
371,Non-Hispanic,Business Administration - MBA
373,Non-Hispanic,Business Administration - MBA
375,Non-Hispanic,Business Administration - MBA
379,Non-Hispanic,Business Administration - MBA
380,Non-Hispanic,Business Administration - MBA
381,Non-Hispanic,Business Administration - MBA
382,Non-Hispanic,Business Administration - MBA
383,Non-Hispanic,Business Administration - MBA
387,Non-Hispanic,Business Administration - MBA
389,Non-Hispanic,Business Administration - MBA
390,Non-Hispanic,Business Administration - MBA
391,Non-Hispanic,Business Administration - MBA
394,Hispanic,Business Administration - MBA
396,Hispanic,Business Administration - MBA
401,Non-Hispanic,Business Administration - MBA
403,Non-Hispanic,Business Administration - MBA
406,Non-Hispanic,Business Administration - MBA
409,Non-Hispanic,Business Administration - MBA
415,Non-Hispanic,Business Administration - MBA
418,Non-Hispanic,Business Administration - MBA
419,Non-Hispanic,Business Administration - MBA
421,Non-Hispanic,Business Administration - MBA
425,Non-Hispanic,Business Administration - MBA
428,Non-Hispanic,Business Administration - MBA
435,Non-Hispanic,Business Administration - MBA
437,Non-Hispanic,Business Administration - MBA
440,Non-Hispanic,Business Administration - MBA
445,Non-Hispanic,Business Administration - MBA
446,Non-Hispanic,Business Administration - MBA
448,Non-Hispanic,Business Administration - MBA
449,Non-Hispanic,Business Administration - MBA
453,Non-Hispanic,Business Administration - MBA
454,Non-Hispanic,Business Administration - MBA
455,Non-Hispanic,Business Administration - MBA
460,Non-Hispanic,Business Administration - MBA
463,Non-Hispanic,Business Administration - MBA
464,Non-Hispanic,Business Administration - MBA
466,Non-Hispanic,Business Administration - MBA
467,Non-Hispanic,Business Administration - MBA
473,Hispanic,Business Administration - MBA
474,Non-Hispanic,Business Administration - MBA
475,Non-Hispanic,Business Administration - MBA
478,Non-Hispanic,Business Administration - MBA
479,Non-Hispanic,Business Administration - MBA
481,Non-Hispanic,Business Administration - MBA
484,Non-Hispanic,Business Administration - MBA
485,Hispanic,Business Administration - MBA
486,Non-Hispanic,Business Administration - MBA
489,Non-Hispanic,Business Administration - MBA
493,Non-Hispanic,Business Administration - MBA
494,Non-Hispanic,Business Administration - MBA
495,Non-Hispanic,Business Administration - MBA
501,Non-Hispanic,Business Administration - MBA
506,Non-Hispanic,Business Administration - MBA
508,Non-Hispanic,Business Administration - MBA
510,Non-Hispanic,Business Administration - MBA
512,Non-Hispanic,Business Administration - MBA
513,Non-Hispanic,Business Administration - MBA
516,Non-Hispanic,Business Administration - MBA
517,Non-Hispanic,Business Administration - MBA
519,Non-Hispanic,Business Administration - MBA
520,Non-Hispanic,Business Administration - MBA
522,Non-Hispanic,Business Administration - MBA
523,Non-Hispanic,Business Administration - MBA
525,Non-Hispanic,Business Administration - MBA
526,Non-Hispanic,Business Administration - MBA
527,Non-Hispanic,Business Administration - MBA
528,Non-Hispanic,Business Administration - MBA
534,Non-Hispanic,Business Administration - MBA
536,Non-Hispanic,Business Administration - MBA
538,Non-Hispanic,Business Administration - MBA
539,Non-Hispanic,Business Administration - MBA
540,Non-Hispanic,Business Administration - MBA
541,Non-Hispanic,Business Administration - MBA
545,Non-Hispanic,Business Administration - MBA
546,Non-Hispanic,Business Administration - MBA
552,Non-Hispanic,Business Administration - MBA
553,Non-Hispanic,Business Administration - MBA
555,Non-Hispanic,Business Administration - MBA
557,Non-Hispanic,Business Administration - MBA
559,Non-Hispanic,Business Administration - MBA
560,Non-Hispanic,Business Administration - MBA
561,Non-Hispanic,Business Administration - MBA
565,Hispanic,Business Administration - MBA
566,Non-Hispanic,Business Administration - MBA
567,Non-Hispanic,Business Administration - MBA
569,Non-Hispanic,Business Administration - MBA
574,Non-Hispanic,Business Administration - MBA
575,Non-Hispanic,Business Administration - MBA
583,Hispanic,Business Administration - MBA
584,Non-Hispanic,Business Administration - MBA
585,Non-Hispanic,Business Administration - MBA
589,Non-Hispanic,Business Administration - MBA
592,Non-Hispanic,Business Administration - MBA
595,Non-Hispanic,Business Administration - MBA
596,Non-Hispanic,Business Administration - MBA
597,Non-Hispanic,Business Administration - MBA
598,Non-Hispanic,Business Administration - MBA
601,Non-Hispanic,Business Administration - MBA
603,Non-Hispanic,Business Administration - MBA
604,Non-Hispanic,Business Administration - MBA
605,Non-Hispanic,Business Administration - MBA
606,Non-Hispanic,Business Administration - MBA
611,Non-Hispanic,Business Administration - MBA
612,Non-Hispanic,Business Administration - MBA
617,Non-Hispanic,Business Administration - MBA
618,Non-Hispanic,Business Administration - MBA
620,Non-Hispanic,Business Administration - MBA
621,Non-Hispanic,Business Administration - MBA
622,Non-Hispanic,Business Administration - MBA
627,Non-Hispanic,Business Administration - MBA
628,Non-Hispanic,Business Administration - MBA
629,Non-Hispanic,Business Administration - MBA
637,Hispanic,Business Administration - MBA
638,Non-Hispanic,Business Administration - MBA
639,Non-Hispanic,Business Administration - MBA
642,Hispanic,Business Administration - MBA
645,Non-Hispanic,Business Administration - MBA
647,Non-Hispanic,Business Administration - MBA
648,Non-Hispanic,Business Administration - MBA
651,Non-Hispanic,Business Administration - MBA
653,Non-Hispanic,Business Administration - MBA
655,Non-Hispanic,Business Administration - MBA
658,Non-Hispanic,Business Administration - MBA
660,Non-Hispanic,Business Administration - MBA
666,Non-Hispanic,Business Administration - MBA
667,Non-Hispanic,Business Administration - MBA
670,Non-Hispanic,Business Administration - MBA
